Node No,K value,Freequency,Avg pathloss(dB),Avg signal power(dBm),Delay,Packet loss
1,4,900,102.703,0,0.164992,320
2,4,900,65.3474,5.26164,0.12112,256
3,4,900,68.4043,3.60667,0.118128,242
1,4,910,103.071,0,0.067232,319
2,4,910,66.4115,3.62546,0.116848,249
3,4,910,67.4554,5.68085,0.119856,249
1,4,920,103.046,0,0.167824,320
2,4,920,67.5807,1.15306,0.11632,245
3,4,920,68.3039,3.72102,0.119264,248
1,4,930,104.279,0,0.205856,320
2,4,930,66.7092,5.12441,0.133312,246
3,4,930,66.5432,4.17167,0.128256,252
1,4,940,103.583,0,0.167152,320
2,4,940,65.0053,4.13969,0.125456,254
3,4,940,68.5808,5.60907,0.122464,244
1,4,950,103.583,0,0.168352,321
2,4,950,64.6188,3.15606,0.122688,255
3,4,950,62.9564,1.52236,0.128144,260
1,4,960,0,0,0.169248,321
2,4,960,63.634,4.08033,0.123664,257
3,4,960,65.8796,3.16348,0.12496,255
1,4,970,104.851,0,0.209712,321
2,4,970,61.0708,5.11967,0.124958,264
3,4,970,65.3023,4.4092,0.12024,253
1,4,980,104.248,0,0.168208,320
2,4,980,61.903,3.62851,0.125856,263
3,4,980,65.208,3.17562,0.128864,253
1,4,990,104.411,0,0.166432,320
2,4,990,64.1166,4.50564,0.128688,260
3,4,990,61.917,5.32758,0.132456,258
1,4,1000,0,0,0.169248,321
2,4,1000,61.3798,5.25904,0.129216,262
3,4,1000,61.9384,4.33975,0.131552,262
1,4,1010,104.538,0,0.189024,322
2,4,1010,61.4714,4.99977,0.126896,262
3,4,1010,61.236,5.28634,0.126896,265
1,4,1020,104.895,0,0.187984,321
2,4,1020,60.8853,6.0953,0.13296,266
3,4,1020,58.5426,4.64737,0.137952,269
1,4,1030,104.957,0,0.189168,321
2,4,1030,58.9782,6.82023,0.13176,265
3,4,1030,60.9158,5.52114,0.13544,266
1,4,1040,105.407,0,0.210288,322
2,4,1040,60.9119,6.10571,0.134128,267
3,4,1040,61.0582,4.24231,0.13248,264
1,4,1050,0,0,0.16664,321
2,4,1050,57.305,4.29934,0.134992,270
3,4,1050,54.8995,5.93612,0.137536,273
1,4,1060,105.332,0,0.169248,320
2,4,1060,59.9739,4.27179,0.136288,270
3,4,1060,58.9701,5.19376,0.131296,268
1,4,1070,105.488,0,0.167232,321
2,4,1070,56.8291,5.72025,0.14096,271
3,4,1070,58.0105,4.65996,0.136944,269
1,4,1080,0,0,0.167904,321
2,4,1080,56.687,3.98098,0.131376,269
3,4,1080,56.1552,2.72557,0.141488,274
1,4,1090,0,0,0.168352,321
2,4,1090,57.1973,3.87377,0.135184,271
3,4,1090,56.801,4.10532,0.139184,273
1,4,1100,0,0,0.169248,321
2,4,1100,54.0398,6.12078,0.133088,270
3,4,1100,58.8503,5.98183,0.141936,269
1,4,1110,0,0,0.168128,321
2,4,1110,53.6892,6.11396,0.141312,273
